wall_angle,num_moves,vertical_gain,horizontal_movement,average_move_distance,max_move_distance,direction_changes,average_hand_hold_size,min_hand_hold_size,foothold_ratio,crimp_count,sloper_count,avg_hold_difficulty,difficulty_score,grade
40,5,245.6,212.2,66.2,71.0,2,10.4,3.2,0.57,2,3,0.543,4.7,V4
40,8,266.8,293.4,60.2,87.2,6,13.9,11.5,0.5,0,3,0.25,5.91,V5
40,7,249.5,181.4,49.8,80.8,2,11.0,3.5,0.33,2,2,0.389,4.71,V4
40,5,254.9,141.3,60.2,78.2,2,12.2,4.5,0.43,1,3,0.429,4.52,V4
40,5,241.6,142.5,63.4,88.5,2,11.1,5.0,0.43,2,1,0.4,4.89,V4
40,6,245.6,229.6,58.5,84.9,1,10.7,3.2,0.62,3,4,0.65,4.88,V4
40,6,236.0,131.1,49.6,69.3,4,13.5,4.8,0.5,1,2,0.325,4.42,V4
40,5,252.8,227.4,72.2,87.8,3,14.9,12.7,0.57,0,4,0.386,4.89,V4
40,5,256.5,178.2,68.2,85.4,0,12.3,4.3,0.43,2,5,0.686,4.86,V4
40,7,253.2,314.1,61.1,89.8,3,10.2,3.2,0.56,4,3,0.622,6.03,V5
40,5,264.5,159.3,68.2,86.2,2,16.0,11.5,0.43,0,5,0.457,4.7,V4
40,5,240.6,215.9,77.7,86.8,2,10.8,3.6,0.43,3,2,0.586,5.71,V5
40,8,241.9,381.8,62.7,85.1,4,12.2,3.3,0.5,3,5,0.59,6.25,V6
40,5,245.3,157.2,58.9,77.4,3,9.1,3.3,0.43,3,1,0.514,5.37,V5
40,6,239.8,183.1,61.3,89.0,2,9.7,3.4,0.5,3,0,0.4,4.97,V4
40,5,216.0,200.7,66.5,87.1,3,10.2,3.2,0.57,3,2,0.586,5.73,V5
40,6,262.7,241.0,71.6,81.1,4,11.9,5.6,0.62,1,5,0.512,5.72,V5
40,7,230.1,297.5,57.3,86.3,4,10.5,3.2,0.67,3,5,0.644,6.12,V6
40,5,292.8,169.8,67.3,84.3,1,8.9,3.5,0.57,4,2,0.7,5.31,V5
40,9,262.2,386.8,56.9,87.9,5,11.5,3.3,0.36,4,5,0.618,7.07,V6
40,6,244.6,231.5,62.3,87.9,4,10.7,3.4,0.62,3,2,0.525,5.87,V5
40,7,251.4,239.1,53.1,89.3,3,11.1,3.2,0.67,3,3,0.533,5.35,V5
40,6,249.3,192.1,58.2,89.0,4,9.6,3.5,0.5,4,3,0.688,6.58,V6
40,9,258.8,254.7,45.3,79.6,8,13.5,3.3,0.36,1,5,0.4,6.97,V6
40,6,278.6,155.4,57.0,86.2,3,13.1,4.1,0.5,1,6,0.575,5.45,V5
40,6,227.4,146.9,54.5,70.2,4,9.3,3.2,0.62,4,2,0.625,5.6,V5
40,8,217.6,284.8,57.4,80.7,4,10.7,3.4,0.5,4,5,0.67,6.37,V6
40,7,242.9,235.3,54.1,79.5,5,13.5,4.4,0.56,2,5,0.556,5.92,V5
40,5,249.7,184.9,57.4,89.3,2,11.1,4.4,0.43,3,2,0.586,5.35,V5
40,7,251.1,292.6,63.9,88.1,4,11.8,3.2,0.44,3,4,0.589,6.38,V6
40,7,292.8,247.8,62.4,80.8,5,7.7,3.4,0.56,6,2,0.744,7.15,V6
40,7,214.7,262.8,57.8,74.3,4,12.3,3.4,0.44,2,3,0.444,5.37,V5
40,5,241.9,203.2,68.5,84.1,2,10.4,4.4,0.43,3,2,0.586,5.47,V5
40,5,228.8,147.5,70.9,87.8,2,14.9,10.4,0.57,0,3,0.314,4.25,V4
40,6,271.1,299.4,67.8,89.4,1,12.3,3.3,0.38,2,3,0.487,4.95,V4
40,11,238.2,367.0,43.7,64.9,3,13.6,3.3,0.46,2,8,0.531,4.94,V4
40,5,256.6,161.6,59.6,75.8,1,14.2,5.0,0.43,1,4,0.5,4.08,V4
